occurrenceID,basisOfRecord,continent,countryCode,country,locality,lat,lon,geodeticDatum,coordinateUncertaintyInMeters,verbatimScientificName,kingdom,phylum,class,order,family,scientificName,genus,specificEpithet,infraspecificEpithet,acceptedNameUsage,scientificNameAuthorship,matchType,iucnStatus,vernacularName,taxonRank,count,year,month,day,roadID,roadType,surveyType,roadLength,initialRoadLatitude,initialRoadLongitude,finalRoadLatitude,finalRoadLongitude,surveyPeriod,startYear,finalYear,firstMonthOfTheYear,lastMonthOfTheYear,surveyFrequency,associatedReferences,associatedReferenceID,URL,recordedBy,season,is_highway,predicted_count,future_risk_score,danger_index
83043252-91c3-4ab4-9eff-959fcd3f0a0a,HumanObservation,Europe,PL,Poland,Wrocław,51.159653,16.877212,WGS84,900.0,Rana arvalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana arvalis,Rana,arvalis,,"Rana arvalis Nilsson, 1842","Nilsson, 1842",EXACT,LC,Moor Frog,species,1,2002,1,,,paved (2 lanes),Systematic,1.8,51.147348,16.869902,51.162658,16.878348,638.0,2002.0,2004.0,10.0,6.0,1-30/month,Orłowski et al. 2008,142,https://www.infona.pl/resource/bwmeta1.element.agro-article-ad745e7a-993f-4354-bc6f-29fc1dfe5970,"Kolenda, K. | Kaczmarski, M.",Winter,0,57.66325902304711,57.66325902304711,100.0
d9e1e7ba-381d-4a12-829c-2689890b1417,HumanObservation,Europe,PL,Poland,Wrocław,51.159653,16.877212,WGS84,900.0,Hyla arborea,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla arborea,Hyla,arborea,,"Hyla arborea (Linnaeus, 1758)","(Linnaeus, 1758)",EXACT,LC,Japanese Treefrog,species,1,2002,1,,,paved (2 lanes),Systematic,1.8,51.147348,16.869902,51.162658,16.878348,638.0,2002.0,2004.0,10.0,6.0,1-30/month,Orłowski et al. 2008,142,https://www.infona.pl/resource/bwmeta1.element.agro-article-ad745e7a-993f-4354-bc6f-29fc1dfe5970,"Kolenda, K. | Kaczmarski, M.",Winter,0,57.66325902304711,57.66325902304711,100.0
0876ccd4-fc7e-445a-8c6d-c2f2fce20f0c,HumanObservation,Europe,PL,Poland,Tłumaczów,50.558789,16.433633,WGS84,30.0,Salamandra salamandra,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra salamandra,Salamandra,salamandra,,"Salamandra salamandra (Linnaeus, 1758)","(Linnaeus, 1758)",EXACT,VU,Common Fire Salamander,species,2,2015,1,24.0,,paved (1 lane),Opportunistic,,,,,,,,,,,,,,,"Kolenda, K. | Kaczmarski, M.",Winter,0,34.754779139365255,34.754779139365255,100.0
ad9a7280-f80a-4075-89cd-ecdce795bf66,HumanObservation,Europe,PL,Poland,Jaskółki,51.704,17.727426,WGS84,50.0,Pelobates fuscus,Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates fuscus,Pelobates,fuscus,,"Pelobates fuscus (Laurenti, 1768)","(Laurenti, 1768)",EXACT,LC,Common Spadefoot,species,3,2012,1,1.0,,paved (2 lanes),Opportunistic,0.1,51.703648,17.727834,51.704433,17.726954,,,,,,,,,,"Kolenda, K. | Kaczmarski, M.",Winter,0,29.34911199635885,29.34911199635885,100.0
b8f9fd64-253a-44af-bfb9-41dfd24f5fe7,HumanObservation,Europe,PL,Poland,Domaszczyn Mały,51.181394,17.142661,WGS84,30.0,Pelophylax esculentus,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax lessonae,Pelophylax,lessonae,,"Pelophylax lessonae (Camerano, 1882)","(Camerano, 1882)",EXACT,LC,Pool Frog,species,1,2023,1,20.0,,paved (2 lanes),Opportunistic,,,,,,,,,,,,,,,"Kolenda, K. | Kaczmarski, M.",Winter,0,29.22640159638387,29.22640159638387,100.0
89ea19f7-8bd8-4d25-8f69-b46dd378191a,HumanObservation,Europe,RO,Romania,Pojejena,44.7825,21.467222,WGS84,30.0,Bufo bufo,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo bufo,Bufo,bufo,,"Bufo bufo (Linnaeus, 1758)","(Linnaeus, 1758)",EXACT,LC,Common Toad,species,1,2019,1,,DN 57,paved (2 lanes),Systematic,0.5,44.7828,21.474173,44.78256,21.466946,12.0,2019.0,2020.0,3.0,2.0,1/month,Covaciu-Marcov et al. 2022,58,https://doi.org/10.1553/ECO.MONT-14-1S4,"Covaciu-Marcov, S.-D. | Ferenți, S. | Cupșa, D. | Cicort-Lucaciu, A-Ș. | Pop, D.-R.",Winter,0,15.434668632227694,15.434668632227694,100.0
603fbbbf-e37f-4147-847b-cc0fc66b144f,HumanObservation,Europe,RO,Romania,Pojejena,44.7825,21.467222,WGS84,30.0,Bufo bufo,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo bufo,Bufo,bufo,,"Bufo bufo (Linnaeus, 1758)","(Linnaeus, 1758)",EXACT,LC,Common Toad,species,1,2019,1,,DN 57,paved (2 lanes),Systematic,0.5,44.7828,21.474173,44.78256,21.466946,12.0,2019.0,2020.0,3.0,2.0,1/month,Covaciu-Marcov et al. 2022,58,https://doi.org/10.1553/ECO.MONT-14-1S4,"Covaciu-Marcov, S.-D. | Ferenți, S. | Cupșa, D. | Cicort-Lucaciu, A-Ș. | Pop, D.-R.",Winter,0,15.434668632227694,15.434668632227694,100.0
1721da42-c034-43b1-835d-fa2ca996a31c,HumanObservation,Europe,RO,Romania,Șușca,44.779722,21.551389,WGS84,30.0,Bufo bufo,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo bufo,Bufo,bufo,,"Bufo bufo (Linnaeus, 1758)","(Linnaeus, 1758)",EXACT,LC,Common Toad,species,2,2019,1,,DN 57,paved (2 lanes),Systematic,0.5,44.778495,21.554036,44.78094,21.548247,12.0,2019.0,2020.0,3.0,2.0,1/month,Covaciu-Marcov et al. 2022,58,https://doi.org/10.1553/ECO.MONT-14-1S4,"Covaciu-Marcov, S.-D. | Ferenți, S. | Cupșa, D. | Cicort-Lucaciu, A-Ș. | Pop, D.-R.",Winter,0,15.434668632227694,15.434668632227694,100.0
770b4797-7f0f-4fdf-9a4e-1fb904a15ae3,HumanObservation,Europe,RO,Romania,Pojejena,44.7825,21.467222,WGS84,30.0,Pelophylax ridibundus,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax ridibundus,Pelophylax,ridibundus,,"Pelophylax ridibundus (Pallas, 1771)","(Pallas, 1771)",EXACT,LC,Marsh Frog,species,1,2019,1,,DN 57,paved (2 lanes),Systematic,0.5,44.7828,21.474173,44.78256,21.466946,12.0,2019.0,2020.0,3.0,2.0,1/month,Covaciu-Marcov et al. 2022,58,https://doi.org/10.1553/ECO.MONT-14-1S4,"Covaciu-Marcov, S.-D. | Ferenți, S. | Cupșa, D. | Cicort-Lucaciu, A-Ș. | Pop, D.-R.",Winter,0,15.434668632227694,15.434668632227694,100.0
0724d8ea-8303-4338-82fb-5ead9b6551e4,HumanObservation,Europe,RO,Romania,Măcești,44.748333,21.611111,WGS84,30.0,Pelophylax ridibundus,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax ridibundus,Pelophylax,ridibundus,,"Pelophylax ridibundus (Pallas, 1771)","(Pallas, 1771)",EXACT,LC,Marsh Frog,species,1,2019,1,,DN 57,paved (2 lanes),Systematic,0.5,44.75154,21.608782,44.745815,21.612954,12.0,2019.0,2020.0,3.0,2.0,1/month,Covaciu-Marcov et al. 2022,58,https://doi.org/10.1553/ECO.MONT-14-1S4,"Covaciu-Marcov, S.-D. | Ferenți, S. | Cupșa, D. | Cicort-Lucaciu, A-Ș. | Pop, D.-R.",Winter,0,15.434668632227694,15.434668632227694,100.0
